filename	ATTRIBUTE_Lab	ATTRIBUTE_Mix	ATTRIBUTE_Type
DOM_Interlab-LCMS_Lab005_PPLblank_Pos_MS2.mzML	5	B	Blank
DOM_Interlab-LCMS_Lab005_A_Pos_MS2_rep1.mzML	5	A	Sample
DOM_Interlab-LCMS_Lab005_A_Pos_MS2_rep2.mzML	5	A	Sample
DOM_Interlab-LCMS_Lab005_A_Pos_MS2_rep3.mzML	5	A	Sample
DOM_Interlab-LCMS_Lab005_A15M_Pos_MS2_rep1.mzML	5	A15M	Sample
DOM_Interlab-LCMS_Lab005_A15M_Pos_MS2_rep2.mzML	5	A15M	Sample
DOM_Interlab-LCMS_Lab005_A15M_Pos_MS2_rep3.mzML	5	A15M	Sample
DOM_Interlab-LCMS_Lab005_A45M_Pos_MS2_rep1.mzML	5	A45M	Sample
DOM_Interlab-LCMS_Lab005_A45M_Pos_MS2_rep2.mzML	5	A45M	Sample
DOM_Interlab-LCMS_Lab005_A45M_Pos_MS2_rep3.mzML	5	A45M	Sample
DOM_Interlab-LCMS_Lab005_A5M_Pos_MS2_rep1.mzML	5	A5M	Sample
DOM_Interlab-LCMS_Lab005_A5M_Pos_MS2_rep2.mzML	5	A5M	Sample
DOM_Interlab-LCMS_Lab005_A5M_Pos_MS2_rep3.mzML	5	A5M	Sample
DOM_Interlab-LCMS_Lab005_M_Pos_MS2_rep1.mzML	5	M	Sample
DOM_Interlab-LCMS_Lab005_M_Pos_MS2_rep2.mzML	5	M	Sample
DOM_Interlab-LCMS_Lab005_M_Pos_MS2_rep3.mzML	5	M	Sample
DOM_Interlab_LCMS_Lab012_A_Pos_MS2_rep1.mzML	12	A	Sample
DOM_Interlab_LCMS_Lab012_A_Pos_MS2_rep2.mzML	12	A	Sample
DOM_Interlab_LCMS_Lab012_A_Pos_MS2_rep3.mzML	12	A	Sample
DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep1_5uL.mzML	12	A15M	Sample
DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep2_5uL.mzML	12	A15M	Sample
DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep3_5uL.mzML	12	A15M	Sample
DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep1_5uL.mzML	12	A45M	Sample
DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep2_5uL.mzML	12	A45M	Sample
DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep3_5uL.mzML	12	A45M	Sample
DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep1.mzML	12	A5M	Sample
DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep2.mzML	12	A5M	Sample
DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep3.mzML	12	A5M	Sample
DOM_Interlab_LCMS_Lab012_M_Pos_MS2_rep1.mzML	12	M	Sample
DOM_Interlab_LCMS_Lab012_M_Pos_MS2_rep2.mzML	12	M	Sample
DOM_Interlab_LCMS_Lab012_M_Pos_MS2_rep3.mzML	12	M	Sample
DOM_Interlab_LCMS_Lab012_PPLBlank_Pos_MS2_rep1_5uL.mzML	12	B	Blank
DOM_Interlab-LCMS_Lab018_A_Pos_MS2_rep1.mzML	18	A	Sample
DOM_Interlab-LCMS_Lab018_A_Pos_MS2_rep2.mzML	18	A	Sample
DOM_Interlab-LCMS_Lab018_A_Pos_MS2_rep3.mzML	18	A	Sample
DOM_Interlab-LCMS_Lab018_A15M_Pos_MS2_rep1.mzML	18	A15M	Sample
DOM_Interlab-LCMS_Lab018_A15M_Pos_MS2_rep2.mzML	18	A15M	Sample
DOM_Interlab-LCMS_Lab018_A15M_Pos_MS2_rep3.mzML	18	A15M	Sample
DOM_Interlab-LCMS_Lab018_A45M_Pos_MS2_rep1.mzML	18	A45M	Sample
DOM_Interlab-LCMS_Lab018_A45M_Pos_MS2_rep2.mzML	18	A45M	Sample
DOM_Interlab-LCMS_Lab018_A45M_Pos_MS2_rep3.mzML	18	A45M	Sample
DOM_Interlab-LCMS_Lab018_A5M_Pos_MS2_rep1.mzML	18	A5M	Sample
