Assigned name,Compound_Name_GNPS
0,0
Gonyol, 3S-5-dimethylsulfonio-3-hydroxylpentanoate (Gonyol)
"(3aR,5S,6S,7R,7aR)-5-(difluoromethyl)-2-(ethylamino)-5,6,7,7a-tetrahydro-3aH-pyrano[3,2-d]thiazole-6,7-diol","""(3aR,5S,6S,7R,7aR)-5-(difluoromethyl)-2-(ethylamino)-5,6,7,7a-tetrahydro-3aH-pyrano[3,2-d]thiazole-6,7-diol"""
"1,3-Di-o-tolylguanidine","""1,3-Di-o-tolylguanidine"""
"2,3-dimethoxybenzaldehyde","""2,3-dimethoxybenzaldehyde CollisionEnergy:102040"""
"2,6-Dimethoxy-4-methylphenol","""2,6-Dimethoxy-4-methylphenol CollisionEnergy:205060"""
"8-bromo-7-[(2-chlorophenyl)methyl]-1,3-dimethyl-1,3,7-trihydropurine-2,6-dione","""8-bromo-7-[(2-chlorophenyl)methyl]-1,3-dimethyl-1,3,7-trihydropurine-2,6-dione CollisionEnergy:102040"""
"9,10-dihydrojasmonic aci","""9,10-dihydrojasmonic acid CollisionEnergy:102040"""
"methyl 3-oxo-2-[(3,4,5-trimethoxyphenyl)methylene]benzo[b]furan-5-carboxylate","""methyl 3-oxo-2-[(3,4,5-trimethoxyphenyl)methylene]benzo[b]furan-5-carboxylate CollisionEnergy:102040"""
"methyl 3-oxo-2-[(3,4,5-trimethoxyphenyl)methylene]benzo[b]furan-5-carboxylate","""methyl 3-oxo-2-[(3,4,5-trimethoxyphenyl)methylene]benzo[b]furan-5-carboxylate CollisionEnergy:205060"""
"N,N-Dimethyldodecylamine N-oxide","""N,N-Dimethyldodecylamine N-oxide"""
Nopol,(1R)-(-)-Nopol CollisionEnergy:102040
(4E)-8-hydroxy-4-(1-hydroxypropan-2-ylidene)-10-oxatricyclododecane-8-carboxylic acid,"(4E)-8-hydroxy-4-(1-hydroxypropan-2-ylidene)-10-oxatricyclo[7.2.1.0�,?]dodecane-8-carboxylic acid"
Perillic acid,(S)-(-)-Perillic acid CollisionEnergy:102040
113777-33-6,113777-33-6
127913-03-5,127913-03-5
